127.0.0.1 - - [12/Mar/2025:21:44:40 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [12/Mar/2025:21:45:06 +0900] "GET /mytest04/ HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [12/Mar/2025:21:45:22 +0900] "GET /mytest04/resources/css/main.css HTTP/1.1" 200 20054
0:0:0:0:0:0:0:1 - - [12/Mar/2025:21:45:22 +0900] "GET /mytest04/resources/image/Booktopia_Logo.jpg HTTP/1.1" 200 22622
0:0:0:0:0:0:0:1 - - [12/Mar/2025:21:45:22 +0900] "GET /mytest04/resources/css/basic-jquery-slider.css HTTP/1.1" 200 1308
0:0:0:0:0:0:0:1 - - [12/Mar/2025:21:45:22 +0900] "GET /mytest04/resources/jquery/tabs.js HTTP/1.1" 200 697
0:0:0:0:0:0:0:1 - - [12/Mar/2025:21:45:22 +0900] "GET /mytest04/resources/jquery/stickysidebar.jquery.js HTTP/1.1" 200 4773
0:0:0:0:0:0:0:1 - - [12/Mar/2025:21:45:22 +0900] "GET /mytest04/resources/jquery/basic-jquery-slider.js HTTP/1.1" 200 9293
0:0:0:0:0:0:0:1 - - [12/Mar/2025:21:45:22 +0900] "GET /mytest04/resources/css/mobile.css HTTP/1.1" 200 531
0:0:0:0:0:0:0:1 - - [12/Mar/2025:21:45:22 +0900] "GET /mytest04/resources/jquery/carousel.js HTTP/1.1" 200 4183
0:0:0:0:0:0:0:1 - - [12/Mar/2025:21:45:22 +0900] "GET /mytest04/resources/css/tablet.css HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [12/Mar/2025:21:45:22 +0900] "GET /mytest04/resources/css/smartphone.css HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [12/Mar/2025:21:45:22 +0900] "GET /mytest04/resources/jquery/jquery.easing.1.3.js HTTP/1.1" 200 8301
0:0:0:0:0:0:0:1 - - [12/Mar/2025:21:45:22 +0900] "GET /mytest04/main/main.do HTTP/1.1" 200 36164
0:0:0:0:0:0:0:1 - - [12/Mar/2025:21:45:22 +0900] "GET /mytest04/resources/image/1px.gif HTTP/1.1" 200 1095
0:0:0:0:0:0:0:1 - - [12/Mar/2025:21:45:22 +0900] "GET /mytest04/resources/image/n-pay.jpg HTTP/1.1" 200 57248
0:0:0:0:0:0:0:1 - - [12/Mar/2025:21:45:22 +0900] "GET /mytest04/resources/image/main_banner01.jpg HTTP/1.1" 200 53606
0:0:0:0:0:0:0:1 - - [12/Mar/2025:21:45:22 +0900] "GET /mytest04/resources/image/call_center_logo.jpg HTTP/1.1" 200 29903
0:0:0:0:0:0:0:1 - - [12/Mar/2025:21:45:22 +0900] "GET /mytest04/resources/image/main_banner03.jpg HTTP/1.1" 200 46814
0:0:0:0:0:0:0:1 - - [12/Mar/2025:21:45:22 +0900] "GET /mytest04/resources/image/facebook_icon.png HTTP/1.1" 200 2314
0:0:0:0:0:0:0:1 - - [12/Mar/2025:21:45:22 +0900] "GET /mytest04/resources/image/side_banner1.jpg HTTP/1.1" 200 73779
0:0:0:0:0:0:0:1 - - [12/Mar/2025:21:45:22 +0900] "GET /mytest04/resources/image/QnA_logo.jpg HTTP/1.1" 200 15722
0:0:0:0:0:0:0:1 - - [12/Mar/2025:21:45:22 +0900] "GET /mytest04/resources/image/twitter_icon.png HTTP/1.1" 200 2469
0:0:0:0:0:0:0:1 - - [12/Mar/2025:21:45:22 +0900] "GET /mytest04/resources/image/main_banner02.jpg HTTP/1.1" 200 67702
0:0:0:0:0:0:0:1 - - [12/Mar/2025:21:45:22 +0900] "GET null HTTP/1.1" 400 2187
0:0:0:0:0:0:0:1 - - [12/Mar/2025:21:45:22 +0900] "GET null HTTP/1.1" 400 2187
0:0:0:0:0:0:0:1 - - [12/Mar/2025:21:45:22 +0900] "GET null HTTP/1.1" 400 2187
0:0:0:0:0:0:0:1 - - [12/Mar/2025:21:45:22 +0900] "GET null HTTP/1.1" 400 2187
0:0:0:0:0:0:0:1 - - [12/Mar/2025:21:45:22 +0900] "GET null HTTP/1.1" 400 2187
0:0:0:0:0:0:0:1 - - [12/Mar/2025:21:45:22 +0900] "GET null HTTP/1.1" 400 2187
0:0:0:0:0:0:0:1 - - [12/Mar/2025:21:45:22 +0900] "GET null HTTP/1.1" 400 2187
0:0:0:0:0:0:0:1 - - [12/Mar/2025:21:45:22 +0900] "GET null HTTP/1.1" 400 2187
0:0:0:0:0:0:0:1 - - [12/Mar/2025:21:45:22 +0900] "GET null HTTP/1.1" 400 2187
0:0:0:0:0:0:0:1 - - [12/Mar/2025:21:45:22 +0900] "GET null HTTP/1.1" 400 2187
0:0:0:0:0:0:0:1 - - [12/Mar/2025:21:45:22 +0900] "GET null HTTP/1.1" 400 2187
0:0:0:0:0:0:0:1 - - [12/Mar/2025:21:45:22 +0900] "GET null HTTP/1.1" 400 2187
0:0:0:0:0:0:0:1 - - [12/Mar/2025:21:45:22 +0900] "GET null HTTP/1.1" 400 2187
0:0:0:0:0:0:0:1 - - [12/Mar/2025:21:45:22 +0900] "GET null HTTP/1.1" 400 2187
0:0:0:0:0:0:0:1 - - [12/Mar/2025:21:45:22 +0900] "GET null HTTP/1.1" 400 2187
0:0:0:0:0:0:0:1 - - [12/Mar/2025:21:45:22 +0900] "GET null HTTP/1.1" 400 2187
